row,Country,CLASS,TYPE,Value From,Value To,Excess,Base Rate (%) - New Business,Absolute - New Business ,Base Rate (%) – Renewal,Absolute – Renewal,Status,Error Message
1,Ireland,Barge,Wide Barge (Non Tidal) ,0,20000,500,2.3,,2.3,,,
2,Ireland,Barge,Wide Barge (Non Tidal) ,20001,29999,500,2.27,,2.27,,,
3,Ireland,Barge,Wide Barge (Non Tidal) ,30000,39999,500,1.9,,1.9,,,
4,Ireland,Barge,Wide Barge (Non Tidal) ,40000,49999,550,1.61,,1.61,,,
5,Ireland,Barge,Wide Barge (Non Tidal) ,50000,59999,550,1.55,,1.55,,,
6,Ireland,Barge,Wide Barge (Non Tidal) ,60000,69999,600,1.51,,1.51,,,
7,Ireland,Barge,Wide Barge (Non Tidal) ,70000,79999,600,1.47,,1.47,,,
8,Ireland,Barge,Wide Barge (Non Tidal) ,80000,99999,650,1.41,,1.41,,,
9,Ireland,Barge,Wide Barge (Non Tidal) ,100000,129999,650,1.36,,1.36,,,
10,Ireland,Barge,Wide Barge (Non Tidal) ,130000,149999,650,1.32,,1.32,,,
11,Ireland,Barge,Wide Barge (Non Tidal) ,150000,169999,700,1.27,,1.27,,,
12,Ireland,Barge,Wide Barge (Non Tidal) ,170000,189999,700,1.21,,1.21,,,
13,Ireland,Barge,Wide Barge (Non Tidal) ,190000,209999,700,1.15,,1.15,,,
14,Ireland,Barge,Wide Barge (Non Tidal) ,200000,350000,900,0.79,,0.79,,,
15,Ireland,Barge,Narrowboat (Non Tidal),0,24999,200,1.01,,1.01,,,
16,Ireland,Barge,Narrowboat (Non Tidal),25000,39999,200,0.99,,0.99,,,
17,Ireland,Barge,Narrowboat (Non Tidal),40000,49999,300,0.94,,0.94,,,
18,Ireland,Barge,Narrowboat (Non Tidal),50000,59999,300,0.92,,0.92,,,
19,Ireland,Barge,Narrowboat (Non Tidal),60000,69999,350,0.89,,0.89,,,
20,Ireland,Barge,Narrowboat (Non Tidal),70000,79999,350,0.86,,0.86,,,
21,Ireland,Barge,Narrowboat (Non Tidal),80000,99999,400,0.85,,0.85,,,
22,Ireland,Barge,Narrowboat (Non Tidal),100000,129999,400,0.84,,0.84,,,
23,Ireland,Barge,Narrowboat (Non Tidal),130000,199999,500,0.82,,0.82,,,
24,Ireland,Barge,Narrowboat (Non Tidal),200000,350000,875,0.79,,0.79,,,
